model_name,accuracy,total_cost,epoch
bilstm_attention_model_epoch_01.keras,0.17720515361744302,59996,1.0
bilstm_attention_model_epoch_02.keras,0.36273538156590684,52595,2.0
bilstm_attention_model_epoch_03.keras,0.4449950445986125,51520,3.0
bilstm_attention_model_epoch_04.keras,0.42497522299306245,47308,4.0
bilstm_attention_model_epoch_05.keras,0.4798810703666997,45793,5.0
bilstm_attention_model_epoch_06.keras,0.4560951437066402,44975,6.0
bilstm_attention_model_epoch_07.keras,0.40198216055500496,43500,7.0
bilstm_attention_model_epoch_08.keras,0.42438057482656094,42200,8.0
bilstm_attention_model_epoch_09.keras,0.3435084241823588,41848,9.0
bilstm_attention_model_epoch_10.keras,0.3427155599603568,42704,10.0
bilstm_attention_model_epoch_11.keras,0.3666997026759167,43258,11.0
bilstm_attention_model_epoch_12.keras,0.3381565906838454,42213,12.0
bilstm_attention_model_epoch_13.keras,0.3639246778989098,41908,13.0
bilstm_attention_model_epoch_14.keras,0.3260654112983152,41061,14.0
bilstm_attention_model_epoch_15.keras,0.33934588701684837,41906,15.0
bilstm_attention_model_epoch_16.keras,0.3419226957383548,41626,16.0
bilstm_attention_model_epoch_17.keras,0.2838453914767096,42107,17.0
bilstm_attention_model_epoch_18.keras,0.33419226957383547,41907,18.0
bilstm_attention_model_epoch_19.keras,0.25034687809712586,42911,19.0
bilstm_attention_model_epoch_20.keras,0.30327056491575816,42628,20.0
bilstm_attention_model_epoch_21.keras,0.2874132804757185,41671,21.0
bilstm_attention_model_epoch_22.keras,0.2782953419226957,43002,22.0
bilstm_attention_model_epoch_23.keras,0.28543111992071357,42163,23.0
bilstm_attention_model_epoch_24.keras,0.28642220019821607,41569,24.0
bilstm_attention_model_epoch_25.keras,0.2707631318136769,42653,25.0
bilstm_attention_model_epoch_26.keras,0.27809712586719526,41514,26.0
bilstm_attention_model_epoch_27.keras,0.3155599603567889,40533,27.0
bilstm_attention_model_epoch_28.keras,0.28622398414271555,41990,28.0
bilstm_attention_model_epoch_29.keras,0.30287413280475717,40940,29.0
bilstm_attention_model_epoch_30.keras,0.29593657086223984,42112,30.0
bilstm_attention_model_epoch_31.keras,0.26917740336967294,42667,31.0
bilstm_attention_model_epoch_32.keras,0.2515361744301288,42905,32.0
bilstm_attention_model_epoch_33.keras,0.3183349851337958,41261,33.0
bilstm_attention_model_epoch_34.keras,0.30842418235877106,43107,34.0
bilstm_attention_model_epoch_35.keras,0.24142715559960357,43137,35.0
bilstm_attention_model_epoch_36.keras,0.2727452923686819,44840,36.0
bilstm_attention_model_epoch_37.keras,0.26739345887016847,42314,37.0
bilstm_attention_model_epoch_38.keras,0.31674925668979187,42243,38.0
bilstm_attention_model_epoch_39.keras,0.32586719524281466,42493,39.0
bilstm_attention_model_epoch_40.keras,0.266402378592666,43329,40.0
bilstm_attention_model_epoch_41.keras,0.33042616451932605,41357,41.0
bilstm_attention_model_epoch_42.keras,0.28860257680872153,43155,42.0
bilstm_attention_model_epoch_43.keras,0.30525272547076315,42484,43.0
bilstm_attention_model_epoch_44.keras,0.2915758176412289,42222,44.0
bilstm_attention_model_epoch_45.keras,0.2398414271555996,41691,45.0
bilstm_attention_model_epoch_46.keras,0.29633300297324083,43662,46.0
bilstm_attention_model_epoch_47.keras,0.32210109018830524,43702,47.0
bilstm_attention_model_epoch_48.keras,0.34985133795837464,41428,48.0
bilstm_attention_model_epoch_49.keras,0.33637264618434093,41665,49.0
bilstm_attention_model_epoch_50.keras,0.3163528245787909,41025,50.0
bilstm_attention_model_epoch_51.keras,0.3159563924677899,42805,51.0
bilstm_attention_model_epoch_52.keras,0.3454905847373637,41266,52.0
bilstm_attention_model_epoch_53.keras,0.32824578790882064,42209,53.0
bilstm_attention_model_epoch_54.keras,0.32586719524281466,41898,54.0
bilstm_attention_model_epoch_55.keras,0.2741328047571853,43503,55.0
bilstm_attention_model_epoch_56.keras,0.32210109018830524,41853,56.0
bilstm_attention_model_epoch_57.keras,0.3561942517343905,41263,57.0
bilstm_attention_model_epoch_58.keras,0.32824578790882064,42763,58.0
bilstm_attention_model_epoch_59.keras,0.3419226957383548,42016,59.0
bilstm_attention_model_epoch_60.keras,0.37423191278493556,40800,60.0
bilstm_attention_model_epoch_61.keras,0.379583746283449,43774,61.0
bilstm_attention_model_epoch_62.keras,0.3970267591674926,43696,62.0
bilstm_attention_model_epoch_63.keras,0.36729435084241824,41688,63.0
bilstm_attention_model_epoch_64.keras,0.3694747274529237,40646,64.0
bilstm_attention_model_epoch_65.keras,0.40614469772051537,41403,65.0
bilstm_attention_model_epoch_66.keras,0.40099108027750247,42851,66.0
bilstm_attention_model_epoch_67.keras,0.3294350842418236,41362,67.0
bilstm_attention_model_epoch_68.keras,0.3952428146679881,41027,68.0
bilstm_attention_model_epoch_69.keras,0.3645193260654113,40142,69.0
bilstm_attention_model_epoch_70.keras,0.3869177403369673,42677,70.0
